Plot,Treatment,Date,Days,Veg,Flr,Sdl
2.3,10,7/13/07,14,26,5,0
2.3,10,7/13/07,14,15,8,0
2.3,10,7/13/07,14,32,4,0
2.3,10,7/13/07,14,NA,NA,NA
2.3,10,7/13/07,14,NA,NA,NA
2.3,10,7/31/07,32,13,2,0
2.3,10,7/31/07,32,20,0,0
2.3,10,7/31/07,32,6,1,0
2.3,10,7/31/07,32,29,3,0
2.3,10,7/31/07,32,29,0,0
2.3,10,7/31/07,32,NA,NA,NA
2.3,10,7/31/07,32,NA,NA,NA
2.3,10,9/29/07,92,4,NA,NA
2.3,10,9/29/07,92,7,NA,NA
2.3,10,9/29/07,92,20,NA,NA
2.3,10,9/29/07,92,11,NA,NA
2.3,10,9/29/07,92,13,NA,NA
2.3,10,9/29/07,92,NA,NA,NA
2.3,10,9/29/07,92,NA,NA,NA
2.4,10,7/13/07,14,13,2,0
2.4,10,7/13/07,14,19,0,0
2.4,10,7/13/07,14,2,0,4
2.4,10,7/13/07,14,26,0,3
2.4,10,7/13/07,14,28,1,0
2.4,10,7/13/07,14,NA,NA,NA
2.4,10,7/13/07,14,NA,NA,NA
2.4,10,7/31/07,32,10,2,0
2.4,10,7/31/07,32,15,1,0
2.4,10,7/31/07,32,23,0,0
2.4,10,7/31/07,32,20,2,0
2.4,10,7/31/07,32,38,3,0
2.4,10,7/31/07,32,NA,NA,NA
2.4,10,7/31/07,32,NA,NA,NA
2.4,10,9/29/07,92,11,NA,NA
2.4,10,9/29/07,92,14,NA,NA
2.4,10,9/29/07,92,10,NA,NA
2.4,10,9/29/07,92,10,NA,NA
2.4,10,9/29/07,92,16,NA,NA
2.4,10,9/29/07,92,NA,NA,NA
2.4,10,9/29/07,92,NA,NA,NA
2.5,0,7/13/07,14,2,0,0
2.5,0,7/13/07,14,5,0,0
2.5,0,7/13/07,14,5,0,0
2.5,0,7/13/07,14,1,0,1
2.5,0,7/13/07,14,0,0,1
2.5,0,7/13/07,14,NA,NA,NA
2.5,0,7/13/07,14,NA,NA,NA
2.5,0,7/31/07,32,6,0,1
2.5,0,7/31/07,32,1,0,0
2.5,0,7/31/07,32,7,0,0
2.5,0,7/31/07,32,6,0,0
2.5,0,7/31/07,32,5,0,1
2.5,0,7/31/07,32,NA,NA,NA
2.5,0,7/31/07,32,NA,NA,NA
2.5,0,9/29/07,92,1,NA,NA
2.5,0,9/29/07,92,1,NA,NA
2.5,0,9/29/07,92,0,NA,NA
2.5,0,9/29/07,92,0,NA,NA
2.5,0,9/29/07,92,0,NA,NA
2.5,0,9/29/07,92,NA,NA,NA
2.5,0,9/29/07,92,NA,NA,NA
2.6,5,7/13/07,14,7,0,0
2.6,5,7/13/07,14,4,0,0
2.6,5,7/13/07,14,10,0,0
2.6,5,7/13/07,14,1,0,0
2.6,5,7/13/07,14,1,0,0
2.6,5,7/13/07,14,NA,NA,NA
2.6,5,7/13/07,14,NA,NA,NA
2.6,5,7/31/07,32,11,0,0
2.6,5,7/31/07,32,15,0,0
2.6,5,7/31/07,32,7,0,0
2.6,5,7/31/07,32,12,0,0
2.6,5,7/31/07,32,2,0,0
2.6,5,7/31/07,32,NA,NA,NA
2.6,5,7/31/07,32,NA,NA,NA
2.6,5,9/29/07,92,6,NA,NA
2.6,5,9/29/07,92,7,NA,NA
2.6,5,9/29/07,92,5,NA,NA
2.6,5,9/29/07,92,3,NA,NA
2.6,5,9/29/07,92,7,NA,NA
2.6,5,9/29/07,92,NA,NA,NA
2.6,5,9/29/07,92,NA,NA,NA
2.7,0,7/13/07,14,0,0,0
2.7,0,7/13/07,14,0,0,0
2.7,0,7/13/07,14,0,0,0
2.7,0,7/13/07,14,0,0,0
2.7,0,7/13/07,14,0,0,0
2.7,0,7/13/07,14,NA,NA,NA
2.7,0,7/13/07,14,NA,NA,NA
2.7,0,7/31/07,32,0,0,0
2.7,0,7/31/07,32,0,0,0
2.7,0,7/31/07,32,0,0,0
2.7,0,7/31/07,32,0,0,0
2.7,0,7/31/07,32,0,0,0
2.7,0,7/31/07,32,NA,NA,NA
2.7,0,7/31/07,32,NA,NA,NA
2.7,0,9/29/07,92,0,NA,NA
2.7,0,9/29/07,92,0,NA,NA
2.7,0,9/29/07,92,0,NA,NA
2.7,0,9/29/07,92,0,NA,NA
2.7,0,9/29/07,92,0,NA,NA
2.7,0,9/29/07,92,NA,NA,NA
2.7,0,9/29/07,92,NA,NA,NA
3.1,0,7/13/07,14,0,0,0
3.1,0,7/13/07,14,0,0,0
3.1,0,7/13/07,14,0,0,0
3.1,0,7/13/07,14,0,0,0
3.1,0,7/13/07,14,1,0,0
3.1,0,7/13/07,14,NA,NA,NA
3.1,0,7/13/07,14,NA,NA,NA
3.1,0,7/31/07,32,0,0,0
3.1,0,7/31/07,32,1,0,0
3.1,0,7/31/07,32,0,0,0
3.1,0,7/31/07,32,0,0,0
3.1,0,7/31/07,32,0,0,0
3.1,0,7/31/07,32,NA,NA,NA
3.1,0,7/31/07,32,NA,NA,NA
3.1,0,9/29/07,92,0,NA,NA
3.1,0,9/29/07,92,0,NA,NA
3.1,0,9/29/07,92,0,NA,NA
3.1,0,9/29/07,92,0,NA,NA
3.1,0,9/29/07,92,0,NA,NA
3.1,0,9/29/07,92,NA,NA,NA
3.1,0,9/29/07,92,NA,NA,NA
3.2,0,7/13/07,14,0,0,1
3.2,0,7/13/07,14,0,0,1
3.2,0,7/13/07,14,1,0,0
3.2,0,7/13/07,14,0,0,0
3.2,0,7/13/07,14,0,0,0
3.2,0,7/13/07,14,NA,NA,NA
3.2,0,7/13/07,14,NA,NA,NA
3.2,0,7/31/07,32,0,0,0
3.2,0,7/31/07,32,2,0,0
3.2,0,7/31/07,32,0,0,1
3.2,0,7/31/07,32,0,0,0
3.2,0,7/31/07,32,0,0,0
3.2,0,7/31/07,32,NA,NA,NA
3.2,0,7/31/07,32,NA,NA,NA
3.2,0,9/29/07,92,0,NA,NA
3.2,0,9/29/07,92,2,NA,NA
3.2,0,9/29/07,92,1,NA,NA
3.2,0,9/29/07,92,0,NA,NA
3.2,0,9/29/07,92,1,NA,NA
3.2,0,9/29/07,92,NA,NA,NA
3.2,0,9/29/07,92,NA,NA,NA
3.3,5,7/13/07,14,6,0,1
3.3,5,7/13/07,14,6,0,0
3.3,5,7/13/07,14,9,0,0
3.3,5,7/13/07,14,3,0,3
3.3,5,7/13/07,14,6,0,0
3.3,5,7/13/07,14,NA,NA,NA
3.3,5,7/13/07,14,NA,NA,NA
3.3,5,7/31/07,32,4,0,0
3.3,5,7/31/07,32,5,0,0
3.3,5,7/31/07,32,7,0,0
3.3,5,7/31/07,32,5,0,0
3.3,5,7/31/07,32,10,0,0
3.3,5,7/31/07,32,NA,NA,NA
3.3,5,7/31/07,32,NA,NA,NA
3.3,5,9/29/07,92,6,NA,NA
3.3,5,9/29/07,92,3,NA,NA
3.3,5,9/29/07,92,8,NA,NA
3.3,5,9/29/07,92,7,NA,NA
3.3,5,9/29/07,92,4,NA,NA
3.3,5,9/29/07,92,NA,NA,NA
3.3,5,9/29/07,92,NA,NA,NA
3.4,20,7/13/07,14,27,7,0
3.4,20,7/13/07,14,32,1,0
3.4,20,7/13/07,14,33,7,0
3.4,20,7/13/07,14,25,3,2
3.4,20,7/13/07,14,26,1,0
3.4,20,7/13/07,14,NA,NA,NA
3.4,20,7/13/07,14,NA,NA,NA
3.4,20,7/31/07,32,38,1,0
3.4,20,7/31/07,32,24,2,0
3.4,20,7/31/07,32,31,2,1
3.4,20,7/31/07,32,31,0,0
3.4,20,7/31/07,32,33,1,0
3.4,20,7/31/07,32,NA,NA,NA
3.4,20,7/31/07,32,NA,NA,NA
3.4,20,9/29/07,92,15,NA,NA
3.4,20,9/29/07,92,30,NA,NA
3.4,20,9/29/07,92,10,NA,NA
3.4,20,9/29/07,92,18,NA,NA
3.4,20,9/29/07,92,14,NA,NA
3.4,20,9/29/07,92,NA,NA,NA
3.4,20,9/29/07,92,NA,NA,NA
3.5,20,7/13/07,14,18,0,0
3.5,20,7/13/07,14,24,0,0
3.5,20,7/13/07,14,27,0,1
3.5,20,7/13/07,14,36,2,0
3.5,20,7/13/07,14,23,0,0
3.5,20,7/13/07,14,NA,NA,NA
3.5,20,7/13/07,14,NA,NA,NA
3.5,20,7/31/07,32,37,2,0
3.5,20,7/31/07,32,25,1,0
3.5,20,7/31/07,32,39,2,0
3.5,20,7/31/07,32,32,1,0
3.5,20,7/31/07,32,21,1,0
3.5,20,7/31/07,32,NA,NA,NA
3.5,20,7/31/07,32,NA,NA,NA
3.5,20,9/29/07,92,15,NA,NA
3.5,20,9/29/07,92,23,NA,NA
3.5,20,9/29/07,92,20,NA,NA
3.5,20,9/29/07,92,16,NA,NA
3.5,20,9/29/07,92,20,NA,NA
3.5,20,9/29/07,92,NA,NA,NA
3.5,20,9/29/07,92,NA,NA,NA
3.6,10,7/13/07,14,19,3,0
3.6,10,7/13/07,14,20,0,0
3.6,10,7/13/07,14,15,0,0
3.6,10,7/13/07,14,10,2,0
3.6,10,7/13/07,14,17,0,0
3.6,10,7/13/07,14,NA,NA,NA
3.6,10,7/13/07,14,NA,NA,NA
3.6,10,7/31/07,32,23,0,0
3.6,10,7/31/07,32,15,1,0
3.6,10,7/31/07,32,26,0,0
3.6,10,7/31/07,32,18,1,0
3.6,10,7/31/07,32,32,1,0
3.6,10,7/31/07,32,NA,NA,NA
3.6,10,7/31/07,32,NA,NA,NA
3.6,10,9/29/07,92,17,NA,NA
3.6,10,9/29/07,92,18,NA,NA
3.6,10,9/29/07,92,25,NA,NA
3.6,10,9/29/07,92,13,NA,NA
3.6,10,9/29/07,92,13,NA,NA
3.6,10,9/29/07,92,NA,NA,NA
3.6,10,9/29/07,92,NA,NA,NA
3.7,10,7/13/07,14,5,1,0
3.7,10,7/13/07,14,19,3,0
3.7,10,7/13/07,14,15,2,0
3.7,10,7/13/07,14,8,0,0
3.7,10,7/13/07,14,17,1,0
3.7,10,7/13/07,14,NA,NA,NA
3.7,10,7/13/07,14,NA,NA,NA
3.7,10,7/31/07,32,18,0,0
3.7,10,7/31/07,32,9,2,0
3.7,10,7/31/07,32,14,0,0
3.7,10,7/31/07,32,18,1,0
3.7,10,7/31/07,32,16,1,0
3.7,10,7/31/07,32,NA,NA,NA
3.7,10,7/31/07,32,NA,NA,NA
3.7,10,9/29/07,92,10,NA,NA
3.7,10,9/29/07,92,8,NA,NA
3.7,10,9/29/07,92,12,NA,NA
3.7,10,9/29/07,92,6,NA,NA
3.7,10,9/29/07,92,3,NA,NA
3.7,10,9/29/07,92,NA,NA,NA
3.7,10,9/29/07,92,NA,NA,NA
4.1,20,7/13/07,14,30,0,0
4.1,20,7/13/07,14,1,3,0
4.1,20,7/13/07,14,23,0,3
4.1,20,7/13/07,14,30,0,1
4.1,20,7/13/07,14,21,0,0
4.1,20,7/13/07,14,NA,NA,NA
4.1,20,7/13/07,14,NA,NA,NA
4.1,20,7/31/07,32,23,0,0
4.1,20,7/31/07,32,18,0,0
4.1,20,7/31/07,32,10,0,0
4.1,20,7/31/07,32,19,0,0
4.1,20,7/31/07,32,16,0,0
4.1,20,7/31/07,32,NA,NA,NA
4.1,20,7/31/07,32,NA,NA,NA
4.1,20,9/29/07,92,3,NA,NA
4.1,20,9/29/07,92,16,NA,NA
4.1,20,9/29/07,92,17,NA,NA
4.1,20,9/29/07,92,17,NA,NA
4.1,20,9/29/07,92,25,NA,NA
4.1,20,9/29/07,92,NA,NA,NA
4.1,20,9/29/07,92,NA,NA,NA
4.2,10,7/13/07,14,19,0,0
4.2,10,7/13/07,14,22,1,0
4.2,10,7/13/07,14,12,0,1
4.2,10,7/13/07,14,8,0,0
4.2,10,7/13/07,14,25,0,1
4.2,10,7/13/07,14,NA,NA,NA
4.2,10,7/13/07,14,NA,NA,NA
4.2,10,7/31/07,32,24,1,0
4.2,10,7/31/07,32,15,1,0
4.2,10,7/31/07,32,10,0,0
4.2,10,7/31/07,32,22,0,0
4.2,10,7/31/07,32,19,0,0
4.2,10,7/31/07,32,NA,NA,NA
4.2,10,7/31/07,32,NA,NA,NA
4.2,10,9/29/07,92,14,NA,NA
4.2,10,9/29/07,92,18,NA,NA
4.2,10,9/29/07,92,10,NA,NA
4.2,10,9/29/07,92,22,NA,NA
4.2,10,9/29/07,92,10,NA,NA
4.2,10,9/29/07,92,NA,NA,NA
4.2,10,9/29/07,92,NA,NA,NA
4.3,10,7/13/07,14,27,3,0
4.3,10,7/13/07,14,16,0,0
4.3,10,7/13/07,14,6,0,0
4.3,10,7/13/07,14,9,0,0
4.3,10,7/13/07,14,22,1,1
4.3,10,7/13/07,14,NA,NA,NA
4.3,10,7/13/07,14,NA,NA,NA
4.3,10,7/31/07,32,35,0,0
4.3,10,7/31/07,32,13,3,1
4.3,10,7/31/07,32,26,0,0
4.3,10,7/31/07,32,40,0,0
4.3,10,7/31/07,32,10,1,0
4.3,10,7/31/07,32,NA,NA,NA
4.3,10,7/31/07,32,NA,NA,NA
4.3,10,9/29/07,92,14,NA,NA
4.3,10,9/29/07,92,23,NA,NA
4.3,10,9/29/07,92,15,NA,NA
4.3,10,9/29/07,92,12,NA,NA
4.3,10,9/29/07,92,20,NA,NA
4.3,10,9/29/07,92,NA,NA,NA
4.3,10,9/29/07,92,NA,NA,NA
4.4,10,7/13/07,14,33,2,1
4.4,10,7/13/07,14,19,1,1
4.4,10,7/13/07,14,26,1,0
4.4,10,7/13/07,14,19,1,0
4.4,10,7/13/07,14,15,2,2
4.4,10,7/13/07,14,NA,NA,NA
4.4,10,7/13/07,14,NA,NA,NA
4.4,10,7/13/07,14,NA,NA,NA
4.4,10,7/31/07,32,31,2,0
4.4,10,7/31/07,32,13,3,0
4.4,10,7/31/07,32,17,5,0
4.4,10,7/31/07,32,35,0,0
4.4,10,7/31/07,32,31,3,0
4.4,10,7/31/07,32,NA,NA,NA
4.4,10,7/31/07,32,NA,NA,NA
4.4,10,7/31/07,32,NA,NA,NA
4.4,10,9/29/07,92,9,NA,NA
4.4,10,9/29/07,92,20,NA,NA
4.4,10,9/29/07,92,13,NA,NA
4.4,10,9/29/07,92,19,NA,NA
4.4,10,9/29/07,92,7,NA,NA
4.4,10,9/29/07,92,NA,NA,NA
4.4,10,9/29/07,92,NA,NA,NA
4.4,10,9/29/07,92,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/13/07,14,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,7/31/07,32,NA,NA,NA
5.1,20,9/29/07,92,23,NA,NA
5.1,20,9/29/07,92,27,NA,NA
5.1,20,9/29/07,92,30,NA,NA
5.1,20,9/29/07,92,38,NA,NA
5.1,20,9/29/07,92,34,NA,NA
5.1,20,9/29/07,92,NA,NA,NA
5.1,20,9/29/07,92,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/13/07,14,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,7/31/07,32,NA,NA,NA
5.2,20,9/29/07,92,21,NA,NA
5.2,20,9/29/07,92,18,NA,NA
5.2,20,9/29/07,92,26,NA,NA
5.2,20,9/29/07,92,24,NA,NA
5.2,20,9/29/07,92,14,NA,NA
5.2,20,9/29/07,92,NA,NA,NA
5.2,20,9/29/07,92,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/13/07,14,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,7/31/07,32,NA,NA,NA
5.3,20,9/29/07,92,16,NA,NA
5.3,20,9/29/07,92,24,NA,NA
5.3,20,9/29/07,92,19,NA,NA
5.3,20,9/29/07,92,22,NA,NA
5.3,20,9/29/07,92,16,NA,NA
5.3,20,9/29/07,92,NA,NA,NA
5.3,20,9/29/07,92,NA,NA,NA
